,agent_id,reliability,total_payoff,,
0,0,1,-186,,num_agents = 100
1,1,0,-189,,num_encounters = 3000
2,2,1,-168,,r_dist = 'bernoulli'
3,3,0,-180,,p_g = 1
4,4,1,-177,,p_b = -3
5,5,1,-183,,alpha_direct = 0.1
6,6,1,-174,,alpha_indirect = 0.1
7,7,0,-183,,
8,8,0,-165,,
9,9,0,-147,,
10,10,1,-168,,
11,11,1,-195,,
12,12,1,-195,,
13,13,1,-144,,
14,14,1,-174,,
15,15,0,-207,,
16,16,1,-210,,
17,17,0,-108,,
18,18,0,-201,,
19,19,1,-201,,
20,20,0,-150,,
21,21,1,-192,,
22,22,1,-192,,
23,23,1,-192,,
24,24,1,-189,,
25,25,0,-171,,
26,26,1,-150,,
27,27,1,-144,,
28,28,1,-201,,
29,29,0,-207,,
30,30,0,-183,,
31,31,0,-168,,
32,32,1,-219,,
33,33,0,-177,,
34,34,1,-171,,
35,35,0,-201,,
36,36,1,-201,,
37,37,1,-186,,
38,38,0,-216,,
39,39,0,-183,,
40,40,1,-165,,
41,41,1,-153,,
42,42,0,-177,,
43,43,0,-222,,
44,44,0,-198,,
45,45,1,-201,,
46,46,0,-186,,
47,47,1,-189,,
48,48,0,-156,,
49,49,1,-192,,
50,50,0,-141,,
51,51,0,-153,,
52,52,0,-204,,
53,53,0,-189,,
54,54,1,-204,,
55,55,1,-147,,
56,56,1,-153,,
57,57,1,-147,,
58,58,0,-168,,
59,59,0,-222,,
60,60,1,-195,,
61,61,1,-180,,
62,62,0,-210,,
63,63,1,-171,,
64,64,0,-138,,
65,65,0,-168,,
66,66,0,-189,,
67,67,1,-159,,
68,68,1,-180,,
69,69,0,-201,,
70,70,0,-186,,
71,71,1,-171,,
72,72,0,-162,,
73,73,0,-189,,
74,74,0,-141,,
75,75,0,-171,,
76,76,0,-168,,
77,77,0,-204,,
78,78,1,-219,,
79,79,0,-174,,
80,80,0,-189,,
81,81,0,-189,,
82,82,1,-165,,
83,83,1,-171,,
84,84,0,-150,,
85,85,1,-162,,
86,86,0,-147,,
87,87,1,-159,,
88,88,1,-180,,
89,89,0,-195,,
90,90,1,-198,,
91,91,0,-177,,
92,92,0,-174,,
93,93,0,-198,,
94,94,1,-210,,
95,95,0,-144,,
96,96,0,-240,,
97,97,0,-177,,
98,98,1,-192,,
99,99,1,-192,,
