,agent_id,reliability,total_payoff,,
0,0,1,87,,num_agents = 100
1,1,0,-3,,num_encounters = 3000
2,2,1,111,,r_dist = 'bernoulli'
3,3,1,120,,p_g = 3
4,4,1,84,,p_b = -1
5,5,0,20,,alpha_direct = 0.1
6,6,0,-13,,alpha_indirect = 0.1
7,7,1,112,,
8,8,0,-13,,
9,9,1,113,,
10,10,1,129,,
11,11,0,-11,,
12,12,1,99,,
13,13,0,12,,
14,14,1,101,,
15,15,1,104,,
16,16,0,11,,
17,17,0,-20,,
18,18,1,115,,
19,19,0,-8,,
20,20,1,112,,
21,21,0,-5,,
22,22,0,-4,,
23,23,0,-7,,
24,24,1,120,,
25,25,0,-12,,
26,26,0,11,,
27,27,0,-13,,
28,28,1,102,,
29,29,1,149,,
30,30,0,-21,,
31,31,1,118,,
32,32,1,120,,
33,33,0,15,,
34,34,1,130,,
35,35,0,-15,,
36,36,1,100,,
37,37,1,126,,
38,38,1,94,,
39,39,1,108,,
40,40,1,132,,
41,41,0,14,,
42,42,0,-17,,
43,43,1,113,,
44,44,0,15,,
45,45,1,110,,
46,46,1,139,,
47,47,0,-7,,
48,48,1,112,,
49,49,0,6,,
50,50,1,118,,
51,51,0,6,,
52,52,1,121,,
53,53,0,-26,,
54,54,0,-15,,
55,55,1,131,,
56,56,0,-1,,
57,57,1,154,,
58,58,0,20,,
59,59,1,106,,
60,60,1,114,,
61,61,1,100,,
62,62,0,18,,
63,63,0,-20,,
64,64,0,13,,
65,65,0,-24,,
66,66,0,-24,,
67,67,1,123,,
68,68,1,138,,
69,69,1,87,,
70,70,1,111,,
71,71,1,119,,
72,72,1,124,,
73,73,1,123,,
74,74,0,-8,,
75,75,0,2,,
76,76,0,25,,
77,77,0,7,,
78,78,1,124,,
79,79,0,-5,,
80,80,0,-3,,
81,81,1,87,,
82,82,0,21,,
83,83,1,112,,
84,84,0,-8,,
85,85,1,137,,
86,86,0,2,,
87,87,1,71,,
88,88,0,8,,
89,89,1,110,,
90,90,0,2,,
91,91,0,23,,
92,92,0,7,,
93,93,0,-19,,
94,94,0,-20,,
95,95,0,17,,
96,96,1,106,,
97,97,0,-9,,
98,98,0,4,,
99,99,0,-12,,
