,agent_id,reliability,total_payoff,,
0,0,0.305340681,-55,,num_agents = 100
1,1,0.10101019,-59,,num_encounters = 3000
2,2,0.244767242,-58,,r_dist = 'skewed'
3,3,0.47990065,-43,,p_g = 1
4,4,0.059693786,-56,,p_b = -1
5,5,0.059802312,-60,,alpha_direct = 0.1
6,6,0.289326904,-57,,alpha_indirect = 0.1
7,7,0.413171992,-52,,
8,8,0.114761997,-56,,
9,9,0.353416428,-64,,
10,10,0.105116472,-73,,
11,11,0.065652071,-60,,
12,12,0.537334183,-60,,
13,13,0.093130501,-52,,
14,14,0.10696934,-69,,
15,15,0.525768919,-68,,
16,16,0.38605895,-59,,
17,17,0.071866531,-62,,
18,18,0.394122965,-55,,
19,19,0.297596207,-57,,
20,20,0.150274572,-70,,
21,21,0.049689546,-72,,
22,22,0.412730649,-53,,
23,23,0.484179827,-58,,
24,24,0.112610697,-64,,
25,25,0.186587359,-53,,
26,26,0.288310221,-71,,
27,27,0.169220032,-72,,
28,28,0.116253953,-44,,
29,29,0.058682908,-62,,
30,30,0.239713074,-67,,
31,31,0.161908859,-68,,
32,32,0.5091265,-40,,
33,33,0.169207289,-63,,
34,34,0.570958146,-55,,
35,35,0.237349793,-57,,
36,36,0.199814299,-63,,
37,37,0.130139543,-58,,
38,38,0.204616556,-57,,
39,39,0.400125388,-72,,
40,40,0.238123575,-66,,
41,41,0.163589328,-58,,
42,42,0.106034256,-56,,
43,43,0.22845259,-54,,
44,44,0.274470532,-65,,
45,45,0.457223259,-76,,
46,46,0.300490715,-53,,
47,47,0.494584679,-66,,
48,48,0.430903668,-77,,
49,49,0.551903811,-59,,
50,50,0.179333176,-56,,
51,51,0.229592919,-65,,
52,52,0.017661755,-64,,
53,53,0.186831013,-47,,
54,54,0.132125598,-56,,
55,55,0.007475334,-62,,
56,56,0.128297034,-57,,
57,57,0.398944131,-56,,
58,58,0.149201602,-45,,
59,59,0.26015206,-51,,
60,60,0.171041659,-55,,
61,61,0.220675121,-81,,
62,62,0.135505403,-59,,
63,63,0.044774644,-62,,
64,64,0.313993807,-49,,
65,65,0.149212741,-59,,
66,66,0.128588742,-61,,
67,67,0.192526291,-63,,
68,68,0.227521217,-76,,
69,69,0.087555636,-61,,
70,70,0.211193154,-60,,
71,71,0.219786504,-63,,
72,72,0.072072861,-46,,
73,73,0.05250288,-60,,
74,74,0.308668945,-70,,
75,75,0.361951058,-75,,
76,76,0.260717986,-69,,
77,77,0.135730958,-64,,
78,78,0.121304358,-55,,
79,79,0.187856125,-52,,
80,80,0.293638016,-68,,
81,81,0.266549481,-52,,
82,82,0.23814459,-58,,
83,83,0.162862556,-68,,
84,84,0.162529575,-53,,
85,85,0.297653137,-48,,
86,86,0.27547191,-64,,
87,87,0.125969402,-53,,
88,88,0.300899085,-57,,
89,89,0.318530371,-64,,
90,90,0.312616773,-56,,
91,91,0.057380851,-57,,
92,92,0.493334891,-63,,
93,93,0.433635808,-52,,
94,94,0.438513742,-63,,
95,95,0.099274954,-53,,
96,96,0.656483669,-61,,
97,97,0.291622821,-51,,
98,98,0.202135336,-58,,
99,99,0.200011454,-78,,
