,agent_id,reliability,total_payoff,,
0,0,0.296538285,-213,,num_agents = 100
1,1,0.140098546,-195,,num_encounters = 3000
2,2,0.168006926,-153,,r_dist = 'skewed'
3,3,0.322457025,-177,,p_g = 1
4,4,0.246052833,-204,,p_b = -3
5,5,0.174280594,-186,,alpha_direct = 0.1
6,6,0.375814243,-186,,alpha_indirect = 0.1
7,7,0.222008951,-159,,
8,8,0.099989145,-162,,
9,9,0.230101627,-174,,
10,10,0.300777227,-147,,
11,11,0.176708339,-159,,
12,12,0.159008927,-180,,
13,13,0.066883329,-171,,
14,14,0.542796785,-126,,
15,15,0.142344121,-204,,
16,16,0.262510681,-159,,
17,17,0.455452366,-180,,
18,18,0.150466231,-177,,
19,19,0.209609538,-147,,
20,20,0.091431512,-228,,
21,21,0.308117166,-186,,
22,22,0.080417068,-150,,
23,23,0.534672396,-174,,
24,24,0.381255537,-180,,
25,25,0.241244996,-162,,
26,26,0.257349677,-159,,
27,27,0.31922617,-156,,
28,28,0.070032456,-210,,
29,29,0.394878659,-201,,
30,30,0.418980442,-165,,
31,31,0.261945544,-195,,
32,32,0.045067075,-174,,
33,33,0.508454596,-180,,
34,34,0.049821765,-189,,
35,35,0.133578852,-171,,
36,36,0.201785177,-171,,
37,37,0.392367109,-165,,
38,38,0.173168122,-189,,
39,39,0.276485858,-195,,
40,40,0.130411068,-159,,
41,41,0.413553636,-144,,
42,42,0.148402305,-192,,
43,43,0.091529811,-165,,
44,44,0.370298212,-177,,
45,45,0.31440224,-138,,
46,46,0.360741867,-231,,
47,47,0.125804959,-180,,
48,48,0.38188537,-177,,
49,49,0.088012508,-177,,
50,50,0.241230857,-177,,
51,51,0.370332945,-189,,
52,52,0.143395129,-207,,
53,53,0.420253528,-171,,
54,54,0.17986169,-171,,
55,55,0.069452586,-195,,
56,56,0.426008285,-162,,
57,57,0.095411505,-186,,
58,58,0.565704807,-195,,
59,59,0.121610844,-180,,
60,60,0.019388294,-186,,
61,61,0.288949532,-177,,
62,62,0.414826747,-162,,
63,63,0.114414914,-183,,
64,64,0.299209597,-204,,
65,65,0.369518085,-216,,
66,66,0.547862444,-213,,
67,67,0.319213368,-201,,
68,68,0.151982391,-156,,
69,69,0.158798464,-174,,
70,70,0.200506321,-180,,
71,71,0.134868257,-165,,
72,72,0.192498181,-204,,
73,73,0.294095015,-171,,
74,74,0.306256559,-180,,
75,75,0.283733569,-195,,
76,76,0.434472471,-180,,
77,77,0.367500144,-171,,
78,78,0.341995694,-162,,
79,79,0.376074266,-159,,
80,80,0.506310513,-198,,
81,81,0.371127139,-183,,
82,82,0.099018342,-150,,
83,83,0.126497477,-222,,
84,84,0.075956378,-177,,
85,85,0.407104664,-156,,
86,86,0.226608002,-150,,
87,87,0.320651255,-192,,
88,88,0.205150684,-198,,
89,89,0.757348715,-192,,
90,90,0.212309568,-174,,
91,91,0.281334844,-213,,
92,92,0.315947371,-201,,
93,93,0.316569283,-207,,
94,94,0.228678492,-135,,
95,95,0.214252282,-174,,
96,96,0.222258884,-162,,
97,97,0.442963771,-222,,
98,98,0.508567967,-183,,
99,99,0.262389898,-240,,
