,agent_id,reliability,total_payoff,,
0,0,0.578828831,21,,num_agents = 100
1,1,0.126638153,-27,,num_encounters = 3000
2,2,0.463762937,36,,r_dist = 'skewed'
3,3,0.613837592,-3,,p_g = 3
4,4,0.285680558,-38,,p_b = -1
5,5,0.162066799,-18,,alpha_direct = 0.1
6,6,0.237406487,-27,,alpha_indirect = 0.1
7,7,0.359135084,-6,,
8,8,0.049325084,-38,,
9,9,0.052770058,-31,,
10,10,0.174191107,-29,,
11,11,0.463846209,-16,,
12,12,0.282514034,19,,
13,13,0.09506228,-21,,
14,14,0.236561474,-14,,
15,15,0.21090523,-32,,
16,16,0.151913955,-44,,
17,17,0.137229231,-17,,
18,18,0.128558161,-41,,
19,19,0.532620447,18,,
20,20,0.550997824,21,,
21,21,0.339687217,-18,,
22,22,0.199325467,-37,,
23,23,0.410160756,-19,,
24,24,0.286499188,-17,,
25,25,0.243941664,-19,,
26,26,0.159667486,-24,,
27,27,0.372661047,19,,
28,28,0.047333025,-30,,
29,29,0.654063186,42,,
30,30,0.216677214,-28,,
31,31,0.153453986,-22,,
32,32,0.150942616,-34,,
33,33,0.394124121,7,,
34,34,0.09558321,-37,,
35,35,0.228686378,-10,,
36,36,0.316278132,-21,,
37,37,0.34197936,-35,,
38,38,0.282936974,-39,,
39,39,0.033520859,-36,,
40,40,0.34128159,56,,
41,41,0.25937569,-29,,
42,42,0.097216334,-13,,
43,43,0.112063346,-43,,
44,44,0.207610593,-26,,
45,45,0.137976142,-30,,
46,46,0.221836587,-25,,
47,47,0.377178782,15,,
48,48,0.324767598,-11,,
49,49,0.121300435,-26,,
50,50,0.421917239,8,,
51,51,0.338288195,-16,,
52,52,0.666859091,30,,
53,53,0.131756926,-60,,
54,54,0.216240189,-36,,
55,55,0.087896812,-28,,
56,56,0.24195326,2,,
57,57,0.076115096,-52,,
58,58,0.159875092,-18,,
59,59,0.338057307,22,,
60,60,0.223038995,-24,,
61,61,0.390106902,3,,
62,62,0.170303986,-27,,
63,63,0.18269965,-19,,
64,64,0.170245102,-34,,
65,65,0.194307584,-30,,
66,66,0.221653513,-12,,
67,67,0.349793222,-19,,
68,68,0.144316275,-43,,
69,69,0.080428983,-31,,
70,70,0.138346899,-42,,
71,71,0.158349976,-18,,
72,72,0.191925641,-42,,
73,73,0.06325034,-31,,
74,74,0.247860417,-16,,
75,75,0.346490881,9,,
76,76,0.60758868,48,,
77,77,0.195093116,-12,,
78,78,0.235790598,-17,,
79,79,0.09517723,-32,,
80,80,0.315302982,-28,,
81,81,0.173332486,-22,,
82,82,0.066162118,-37,,
83,83,0.031238601,-39,,
84,84,0.170586259,-17,,
85,85,0.321470921,-14,,
86,86,0.147072186,-29,,
87,87,0.300509936,-5,,
88,88,0.444542608,-28,,
89,89,0.123625808,-29,,
90,90,0.140850032,-30,,
91,91,0.287509886,4,,
92,92,0.168632725,-16,,
93,93,0.337664054,5,,
94,94,0.607140331,41,,
95,95,0.222944576,-37,,
96,96,0.161084129,-17,,
97,97,0.147711493,-24,,
98,98,0.655242688,61,,
99,99,0.25170214,-17,,
