,agent_id,reliability,total_payoff,,
0,0,0.097049059,-216,,num_agents = 100
1,1,0.265676903,-165,,num_encounters = 3000
2,2,0.011260867,-168,,r_dist = 'uniform'
3,3,0.370511514,-147,,p_g = 1
4,4,0.912177626,-162,,p_b = -3
5,5,0.687007322,-183,,alpha_direct = 0.1
6,6,0.667604689,-162,,alpha_indirect = 0.1
7,7,0.575299047,-183,,
8,8,0.834376934,-189,,
9,9,0.370893381,-174,,
10,10,0.171531099,-192,,
11,11,0.16514625,-231,,
12,12,0.869827861,-135,,
13,13,0.635065213,-207,,
14,14,0.692506192,-162,,
15,15,0.700325843,-159,,
16,16,0.408582778,-189,,
17,17,0.412759176,-174,,
18,18,0.703829284,-180,,
19,19,0.762040106,-183,,
20,20,0.001439638,-183,,
21,21,0.097682641,-174,,
22,22,0.127348403,-159,,
23,23,0.198692945,-210,,
24,24,0.142515931,-165,,
25,25,0.704069795,-171,,
26,26,0.162060043,-174,,
27,27,0.118146126,-168,,
28,28,0.14908729,-171,,
29,29,0.482583211,-141,,
30,30,0.46834754,-216,,
31,31,0.357365585,-195,,
32,32,0.681115341,-165,,
33,33,0.816841377,-177,,
34,34,0.916779817,-177,,
35,35,0.941375157,-192,,
36,36,0.522846255,-195,,
37,37,0.239284466,-207,,
38,38,0.124987184,-204,,
39,39,0.79211017,-156,,
40,40,0.724677163,-177,,
41,41,0.224215272,-171,,
42,42,0.155169755,-210,,
43,43,0.16024619,-201,,
44,44,0.284828341,-201,,
45,45,0.970356794,-168,,
46,46,0.103695549,-183,,
47,47,0.230578408,-177,,
48,48,0.141192493,-222,,
49,49,0.543183776,-216,,
50,50,0.046018715,-174,,
51,51,0.169491133,-129,,
52,52,0.093625467,-210,,
53,53,0.37075675,-183,,
54,54,0.200952144,-150,,
55,55,0.699635805,-180,,
56,56,0.317344586,-183,,
57,57,0.652223913,-195,,
58,58,0.733631235,-150,,
59,59,0.901545431,-189,,
60,60,0.086021802,-204,,
61,61,0.428663634,-177,,
62,62,0.046911302,-186,,
63,63,0.795521431,-147,,
64,64,0.731021538,-159,,
65,65,0.327656047,-141,,
66,66,0.998994272,-168,,
67,67,0.610840688,-177,,
68,68,0.143190454,-144,,
69,69,0.280743476,-171,,
70,70,0.373901237,-261,,
71,71,0.692408694,-198,,
72,72,0.896388929,-201,,
73,73,0.164426306,-180,,
74,74,0.740187002,-222,,
75,75,0.12836834,-189,,
76,76,0.460107639,-177,,
77,77,0.880810762,-225,,
78,78,0.397462687,-195,,
79,79,0.469575923,-168,,
80,80,0.746223593,-147,,
81,81,0.384238425,-177,,
82,82,0.671878277,-162,,
83,83,0.028485158,-177,,
84,84,0.66338876,-150,,
85,85,0.900009419,-204,,
86,86,0.634739954,-150,,
87,87,0.682034124,-204,,
88,88,0.314823314,-189,,
89,89,0.547353318,-168,,
90,90,0.826359824,-144,,
91,91,0.392910646,-186,,
92,92,0.206693995,-165,,
93,93,0.385755529,-177,,
94,94,0.474672631,-171,,
95,95,0.043117155,-216,,
96,96,0.38595949,-174,,
97,97,0.345021498,-162,,
98,98,0.207002868,-186,,
99,99,0.664996411,-171,,
