,agent_id,reliability,total_payoff,,,
0,0,0.03916916,0,,num_agents = 100,
1,1,0.248816901,30,,num_encounters = 3000,
2,2,0.283436014,38,,r_dist = 'uniform',
3,3,0.114552819,-11,,p_g = 3,
4,4,0.373542625,49,,p_b = -1,
5,5,0.506437434,36,,alpha_direct = 0.1,
6,6,0.544311033,61,,alpha_indirect = 0.1,
7,7,0.190308654,18,,,
8,8,0.787138849,107,,,
9,9,0.149744911,17,,,
10,10,0.281333133,25,,,
11,11,0.747451182,122,,,
12,12,0.039719289,10,,,
13,13,0.4597236,82,,,
14,14,0.455774934,68,,,
15,15,0.555912456,89,,,
16,16,0.315998547,20,,,
17,17,0.417082865,34,,,
18,18,0.632826139,52,,,
19,19,0.947602561,129,,,
20,20,0.750993251,98,,,
21,21,0.835729072,97,,,
22,22,0.600711144,82,,,
23,23,0.152632034,30,,,
24,24,0.423897224,65,,,
25,25,0.643420013,50,,,
26,26,0.556012568,65,,,
27,27,0.691482186,85,,,
28,28,0.109885909,9,,,unif
29,29,0.799200087,92,,,
30,30,0.012247702,5,,,
31,31,0.144548524,10,,,
32,32,0.815210381,62,,,
33,33,0.946575616,121,,,
34,34,0.449245664,83,,,
35,35,0.107500578,14,,,
36,36,0.076168676,20,,,
37,37,0.586446715,45,,,
38,38,0.44330647,57,,,
39,39,0.854363306,105,,,
40,40,0.505832219,71,,,
41,41,0.262210102,34,,,
42,42,0.668740993,61,,,
43,43,0.417307202,74,,,
44,44,0.150412624,13,,,
45,45,0.983882217,98,,,
46,46,0.795741949,85,,,
47,47,0.450628918,53,,,
48,48,0.190738948,0,,,
49,49,0.908882038,124,,,
50,50,0.105166753,-7,,,
51,51,0.817798138,101,,,
52,52,0.779611006,99,,,
53,53,0.631215943,85,,,
54,54,0.927185221,79,,,
55,55,0.757467904,75,,,
56,56,0.591180807,66,,,
57,57,0.750960605,96,,,
58,58,0.806107381,101,,,
59,59,0.646631597,76,,,
60,60,0.138509435,10,,,
61,61,0.561560481,46,,,
62,62,0.603772337,74,,,
63,63,0.735511948,108,,,
64,64,0.845586218,100,,,
65,65,0.648291082,79,,,
66,66,0.651507987,83,,,
67,67,0.417614184,19,,,
68,68,0.868218096,91,,,
69,69,0.077251121,25,,,
70,70,0.043840505,2,,,
71,71,0.61051138,100,,,
72,72,0.743586879,109,,,
73,73,0.606941146,89,,,
74,74,0.632023701,65,,,
75,75,0.682821358,104,,,
76,76,0.661094167,126,,,
77,77,0.258192035,30,,,
78,78,0.787321782,72,,,
79,79,0.175105591,-3,,,
80,80,0.904572901,92,,,
81,81,0.532218106,63,,,
82,82,0.091889463,15,,,
83,83,0.178111046,21,,,
84,84,0.953993228,127,,,
85,85,0.431849145,86,,,
86,86,0.356047723,86,,,
87,87,0.357724522,46,,,
88,88,0.68486237,94,,,
89,89,0.156123858,-8,,,
90,90,0.223900154,-5,,,
91,91,0.816676115,79,,,
92,92,0.0295841,16,,,
93,93,0.544734887,92,,,
94,94,0.918197902,75,,,
95,95,0.742571299,91,,,
96,96,0.035121541,0,,,
97,97,0.557870736,66,,,
98,98,0.965641099,149,,,
99,99,0.134505234,19,,,
