,agent_id,reliability,total_payoff,,num_agents = 100
0,0,0.992368263,24,,num_encounters = 3000
1,1,0.494239383,-20,,r_dist = 'uniform'
2,2,0.499108513,-26,,p_g = 1
3,3,0.464223175,-35,,p_b = -1
4,4,0.733666349,-3,,alpha_direct = 0.1
5,5,0.539445558,-38,,alpha_indirect = 0.1
6,6,0.139667242,-35,,
7,7,0.77780095,12,,
8,8,0.363156617,-22,,
9,9,0.106220097,-51,,
10,10,0.563644856,6,,
11,11,0.548658261,-38,,
12,12,0.794108956,8,,
13,13,0.068544983,-36,,
14,14,0.731614204,5,,
15,15,0.330361909,-32,,
16,16,0.793583205,-3,,
17,17,0.538761787,-3,,
18,18,0.91345661,31,,
19,19,0.576909851,-2,,
20,20,0.222026954,-22,,
21,21,0.756295303,-7,,
22,22,0.44068882,-25,,
23,23,0.98382469,15,,
24,24,0.279211943,-30,,
25,25,0.1425584,-33,,
26,26,0.705861465,-23,,
27,27,0.510360823,-1,,
28,28,0.167705332,-24,,
29,29,0.311193547,-33,,
30,30,0.328950857,-22,,
31,31,0.095278713,-29,,
32,32,0.614572397,1,,
33,33,0.701795404,11,,
34,34,0.582960557,0,,
35,35,0.705669132,1,,
36,36,0.967525016,-4,,
37,37,0.918926527,4,,
38,38,0.102014471,-40,,
39,39,0.924135494,3,,
40,40,0.835687669,21,,
41,41,0.992220018,31,,
42,42,0.677400855,-18,,
43,43,0.587830613,-3,,
44,44,0.050615313,-27,,
45,45,0.323002942,-34,,
46,46,0.560020035,-16,,
47,47,0.516713614,-42,,
48,48,0.121338157,-31,,
49,49,0.419459633,-30,,
50,50,0.554686491,-9,,
51,51,0.562748154,-25,,
52,52,0.273362964,-28,,
53,53,0.761483269,12,,
54,54,0.707977519,-21,,
55,55,0.824061989,-2,,
56,56,0.337684168,-36,,
57,57,0.838686374,18,,
58,58,0.799379932,4,,
59,59,0.537205585,6,,
60,60,0.448103804,-30,,
61,61,0.344242022,-15,,
62,62,0.412171799,-21,,
63,63,0.707911935,21,,
64,64,0.860756573,0,,
65,65,0.096002267,-28,,
66,66,0.222963528,-46,,
67,67,0.928279564,21,,
68,68,0.023189651,-48,,
69,69,0.603860634,-26,,
70,70,0.554902021,-8,,
71,71,0.506203707,-24,,
72,72,0.997326524,14,,
73,73,0.659183011,-24,,
74,74,0.025493984,-42,,
75,75,0.992656882,10,,
76,76,0.941775483,38,,
77,77,0.831863802,-19,,
78,78,0.268860637,-34,,
79,79,0.55705457,-4,,
80,80,0.785438843,8,,
81,81,0.459730879,-22,,
82,82,0.082687473,-33,,
83,83,0.93174403,16,,
84,84,0.187885665,-30,,
85,85,0.713829442,2,,
86,86,0.397072163,-30,,
87,87,0.356719842,-13,,
88,88,0.211687466,-24,,
89,89,0.913657382,-3,,
90,90,0.906703383,12,,
91,91,0.455138222,-22,,
92,92,0.437715833,-10,,
93,93,0.584510395,-15,,
94,94,0.000466629,-36,,
95,95,0.16105868,-22,,
96,96,0.422841932,-7,,
97,97,0.738413185,8,,
98,98,0.586672382,-10,,
99,99,0.048914816,-26,,
